seed,trader_count,traditional_return_fwd,tokenized_return_fwd,spread_return_fwd,traditional_volatility_fwd,tokenized_volatility_fwd,spread_volatility_fwd,traditional_micro_return_fwd,tokenized_micro_return_fwd,spread_micro_return_fwd,traditional_stress_fwd,tokenized_stress_fwd,spread_stress_fwd
149,2000,20.051333666486016,30.545877704812654,10.494544038326637,2.995042335439419,3.487192206678803,0.4921498712393837,12.810262576418863,105.75013349780815,92.93987092138929,66.66666666666667,46.66666666666667,-20.0
0,2500,9.923492190854265,4.830948476295727,-5.092543714558539,3.288660431761593,3.231195152193512,-0.057465279568080785,11.358869804539173,75.58043441615308,64.22156461161391,80.83333333333334,31.666666666666664,-49.16666666666668
1,2500,12.89418179344064,16.862687134441188,3.9685053410005473,3.3010137881671104,3.577740597045654,0.27672680887854373,15.58482748653054,8.14067623670951,-7.444151249821029,93.33333333333334,61.666666666666664,-31.66666666666668
2,2500,24.468656667393972,4.804671645187697,-19.663985022206276,2.9841417874120113,2.7240053955500487,-0.2601363918619626,12.061815930568054,4.628132823728137,-7.433683106839917,74.16666666666667,43.333333333333336,-30.833333333333336
3,2500,24.302549556461162,12.672940260093712,-11.62960929636745,3.330572769081323,3.6888746130675587,0.35830184398623555,13.152508275144159,7.42910323867505,-5.723405036469109,82.5,49.166666666666664,-33.333333333333336
4,2500,15.874490593129087,8.92262646311508,-6.951864130014007,2.9464126511668067,3.265408326401497,0.3189956752346901,13.63133626195594,4.211271258122129,-9.420065003833813,83.33333333333333,33.333333333333336,-49.99999999999999
5,2500,2.709798208013958,8.456447325511274,5.7466491174973156,3.7447409973130514,2.7125900897655044,-1.032150907547547,11.33361205646879,6.997457629172543,-4.336154427296246,80.0,52.5,-27.5
6,2500,11.280502825932427,14.220223306141499,2.939720480209072,3.0895742767776024,2.5698703978088764,-0.519703878968726,10.97166954427291,7.112336921089568,-3.8593326231833416,86.66666666666667,37.5,-49.16666666666667
7,2500,27.186431770565722,6.596657680928897,-20.589774089636826,3.623021321086589,5.364749835917584,1.741728514830995,20.552144728225286,85.99990893172777,65.44776420350249,87.5,50.83333333333333,-36.66666666666667
8,2500,24.608956176345686,-6.435008246701901,-31.043964423047587,3.071399219067343,2.017100861871744,-1.054298357195599,-1.6139193158462573,-2.7086307309376667,-1.0947114150914095,77.5,34.16666666666667,-43.33333333333333
9,2500,25.942739969640872,13.929301247445625,-12.013438722195247,3.9602926764142223,3.6418712112972047,-0.31842146511701763,11.042222662486733,13.907907524593611,2.8656848621068782,94.16666666666667,30.833333333333336,-63.333333333333336
10,2500,19.722169433945446,-0.19989160807167838,-19.922061042017123,3.5427130846618455,3.6956235637157735,0.15291047905392796,14.55619185357111,76.28184834493447,61.72565649136337,83.33333333333334,58.33333333333333,-25.000000000000014
11,2500,5.275073844933842,6.353127764052835,1.078053919118993,3.0386893371447785,3.107634399451136,0.06894506230635766,14.528556770868416,3.328348767713596,-11.20020800315482,69.16666666666667,36.666666666666664,-32.50000000000001
12,2500,31.400343944950038,16.55651512912013,-14.843828815829909,3.339791827320054,4.899538089799583,1.5597462624795284,14.387452178181558,11.147653820705905,-3.239798357475653,82.5,44.166666666666664,-38.333333333333336
13,2500,-11.255164453078258,2.5842794165604976,13.839443869638757,2.609529017040612,3.290551369372675,0.6810223523320631,10.57970563524908,1.8242540722769984,-8.755451562972082,66.66666666666667,32.5,-34.16666666666667
14,2500,51.30809349859584,14.895913248919012,-36.41218024967682,3.3522816059115517,3.8324371956256513,0.48015558971409966,15.585775687544778,11.154682300591112,-4.431093386953666,75.83333333333334,20.0,-55.83333333333334
15,2500,41.1286368190019,17.875518204917064,-23.253118614084833,3.985918305503143,3.9787172291355346,-0.007201076367608472,23.358724755598903,14.049688929174732,-9.309035826424171,77.5,44.16666666666667,-33.33333333333333
16,2500,25.93476307448308,25.118069779063458,-0.816693295419622,3.1691035411528077,5.36206530504956,2.1929617638967525,12.131635431558685,14.965087843880486,2.833452412321801,73.33333333333334,87.5,14.166666666666657
17,2500,-13.276368917324177,2.5561256689447642,15.832494586268941,2.898439562540732,3.8315441101654897,0.9331045476247577,8.164991001055055,2.7418342393609407,-5.4231567616941145,60.0,52.5,-7.5
18,2500,14.779544425440672,9.02304149627784,-5.756502929162833,3.5273715507097987,2.017672798914856,-1.5096987517949425,14.575282306170912,5.250759197008281,-9.32452310916263,75.0,20.833333333333332,-54.16666666666667
19,2500,12.390229711119094,-6.068305684007025,-18.45853539512612,3.671613313374109,3.603381951517309,-0.06823136185680001,12.710036928284252,1.767541510444559,-10.942495417839693,82.5,43.333333333333336,-39.166666666666664
20,2500,-2.307903460799421,17.144928454288877,19.452831915088296,3.522844852893265,3.4872001152715626,-0.035644737621702394,11.66142588284802,5.71148817155307,-5.94993771129495,76.66666666666667,55.833333333333336,-20.833333333333336
